Precinct	DVote	RVote
0	52	114
1	101	227
2	132	312
3	17	33
4	56	111
5	11	23
6	247	268
7	19	21
8	61	46
9	100	109
10	174	131
11	340	546
12	85	218
13	305	489
14	6	19
15	8	20
16	22	53
17	35	56
18	5	18
19	239	300
20	37	74
21	361	976
22	207	429
23	223	459
24	211	434
25	399	1078
26	287	1061
27	217	587
28	394	1065
29	464	833
30	407	730
31	478	803
32	458	822
33	213	357
34	77	164
35	313	229
36	343	728
37	90	144
38	101	74
39	250	622
40	274	426
41	268	613
42	134	306
43	210	211
44	334	335
45	32	30
46	478	451
47	345	346
48	80	183
49	438	763
50	224	211
51	177	406
52	315	549
53	242	422
54	132	229
55	63	84
56	384	516
57	271	473
58	301	497
59	239	394
60	320	529
61	366	604
62	394	650
63	116	202
64	55	191
65	200	604
66	159	362
67	238	506
68	383	280
69	259	595
70	213	516
71	292	561
72	496	953
73	198	454
74	247	597
75	245	594
76	677	280
77	581	240
78	308	128
79	368	152
80	659	171
81	362	150
82	586	152
83	484	126
84	891	231
85	656	170
86	813	211
87	1187	308
88	464	120
89	589	495
90	482	125
91	282	237
92	601	505
93	757	636
94	738	620
95	632	531
96	554	466
97	574	565
98	514	809
99	306	481
100	396	389
101	271	616
102	674	1147
103	352	597
104	668	866
105	118	150
106	392	666
107	308	391
108	473	346
109	598	874
110	236	553
111	268	626
112	78	192
113	107	265
114	157	501
115	300	660
116	382	840
117	106	268
118	768	935
119	452	710
120	540	848
121	631	967
122	696	1093
123	550	863
124	551	865
125	250	392
126	556	811
127	324	716
128	266	580
129	232	505
130	657	1509
131	239	543
132	337	776
133	426	1116
134	478	1252
135	227	515
136	319	1025
137	165	458
138	135	295
139	324	909
140	393	499
141	550	933
142	527	981
143	198	572
144	408	539
145	272	199
146	466	340
147	547	675
148	448	328
149	0	0
150	260	190
151	13	17
152	801	585
153	402	294
154	824	602
155	626	457
156	545	398
157	205	149
158	233	170
159	391	286
160	530	387
161	344	419
162	255	400
163	485	354
164	531	388
165	274	200
166	214	336
167	91	139
168	324	427
169	569	752
170	713	520
171	292	648
172	252	511
173	400	596
174	236	314
175	228	593
176	344	655
177	272	517
178	337	821
179	419	708
180	319	980
181	308	514
182	450	751
183	32	71
184	264	440
185	322	554
186	19	42
187	155	152
188	172	168
189	111	109
190	289	700
191	204	203
192	245	242
193	153	370
194	106	183
195	364	627
196	83	81
197	100	99
198	241	229
199	276	305
200	141	156
201	212	200
202	204	351
203	336	373
204	167	185
205	312	533
206	385	428
207	437	748
208	288	504
209	379	663
210	224	391
211	270	586
212	433	473
213	262	388
214	605	436
215	684	281
216	798	327
217	383	157
218	616	252
219	293	361
220	360	444
221	417	464
222	231	430
223	391	436
224	420	467
225	601	729
226	369	684
227	465	469
228	534	196
229	923	340
230	247	476
231	233	306
232	166	218
233	109	144
234	279	538
235	208	273
236	146	391
237	109	131
238	176	213
239	149	181
240	184	223
241	159	192
242	92	76
243	172	245
244	268	406
245	72	103
246	224	303
247	161	425
248	196	395
249	104	259
250	79	230
251	71	218
252	55	257
253	197	681
254	500	637
255	136	417
256	261	680
257	78	139
258	363	719
259	191	491
260	225	561
261	131	232
262	41	175
263	32	137
264	71	252
265	103	398
266	169	537
267	115	354
268	148	528
269	133	420
270	53	95
271	144	394
272	107	329
273	101	435
274	48	204
275	43	169
276	7	30
277	231	591
278	102	250
279	139	419
280	95	336
281	42	153
282	144	524
283	58	141
284	115	254
285	171	475
286	338	376
287	187	208
288	333	488
289	166	370
290	190	417
291	192	370
292	202	390
293	226	494
294	284	986
295	306	1061
296	221	1136
297	146	752
298	194	997
299	184	943
300	404	1399
301	189	847
302	160	554
303	210	942
304	275	378
305	375	517
306	518	714
307	427	589
308	225	239
309	283	390
310	244	336
311	474	653
312	421	579
313	223	772
314	248	858
315	265	282
316	42	45
317	349	372
318	479	509
319	423	450
320	327	347
321	34	37
322	478	509
323	104	153
324	41	44
325	31	29
326	143	134
327	660	618
328	406	380
329	467	436
330	63	59
331	380	355
332	134	603
333	219	980
334	204	898
335	278	712
336	183	722
337	121	309
338	423	1084
339	411	1624
340	330	931
341	156	464
342	129	555
343	447	887
344	273	651
345	296	951
346	243	469
347	205	418
348	273	505
349	148	546
350	122	410
351	164	341
352	394	867
353	423	698
354	468	632
355	470	636
356	595	805
357	606	754
358	278	376
359	565	704
360	406	506
361	586	729
362	528	658
363	314	518
364	374	618
365	763	941
366	378	543
367	471	677
368	373	408
369	333	406
370	645	400
371	385	264
372	622	386
373	352	219
374	403	250
375	554	344
376	663	411
377	849	275
378	659	213
379	626	388
380	350	217
381	544	337
382	689	285
383	547	339
384	1005	325
385	488	523
386	353	594
387	278	468
388	440	542
389	354	596
390	415	754
391	371	674
